timestamp,l1_bright_px,l2_bright_px,l1_triggered,l2_triggered,l1_confirmed,l2_confirmed,l1_dwell_s,l2_dwell_s,pending,count,event
1772010490.6382,40,31,1,1,0,0,0.000,0.000,0,0,
1772010491.8124,40,31,1,1,1,0,1.174,1.174,1,0,L1_CONFIRMED
1772010491.8599,46,31,1,1,1,1,1.222,1.222,0,0,REJECTED_TOO_FAST
1772010491.8854,46,31,1,1,1,1,1.247,1.247,0,0,
1772010491.9058,46,31,1,1,1,1,1.268,1.268,0,0,
1772010491.9235,46,31,1,1,1,1,1.285,1.285,0,0,
1772010491.9421,46,31,1,1,1,1,1.304,1.304,0,0,
1772010491.9571,47,31,1,1,1,1,1.319,1.319,0,0,
1772010491.9767,47,31,1,1,1,1,1.339,1.339,0,0,
1772010492.0053,45,31,1,1,1,1,1.367,1.367,0,0,
1772010492.0240,43,30,1,1,1,1,1.386,1.386,0,0,
1772010492.0403,45,30,1,1,1,1,1.402,1.402,0,0,
1772010492.0572,45,30,1,1,1,1,1.419,1.419,0,0,
1772010492.0815,45,30,1,1,1,1,1.443,1.443,0,0,
1772010492.1084,45,30,1,1,1,1,1.470,1.470,0,0,
1772010492.1304,45,30,1,1,1,1,1.492,1.492,0,0,
1772010492.1515,45,30,1,1,1,1,1.513,1.513,0,0,
1772010492.1690,45,30,1,1,1,1,1.531,1.531,0,0,
1772010492.1813,45,30,1,1,1,1,1.543,1.543,0,0,
1772010492.2019,45,30,1,1,1,1,1.564,1.564,0,0,
1772010492.2141,45,30,1,1,1,1,1.576,1.576,0,0,
1772010492.2306,45,30,1,1,1,1,1.592,1.592,0,0,
1772010492.2571,45,30,1,1,1,1,1.619,1.619,0,0,
1772010492.2708,45,30,1,1,1,1,1.633,1.633,0,0,
1772010492.2860,45,30,1,1,1,1,1.648,1.648,0,0,
1772010492.3037,45,30,1,1,1,1,1.666,1.666,0,0,
1772010492.3213,45,30,1,1,1,1,1.683,1.683,0,0,
1772010492.3400,45,30,1,1,1,1,1.702,1.702,0,0,
1772010492.3580,45,30,1,1,1,1,1.720,1.720,0,0,
1772010492.3787,45,30,1,1,1,1,1.740,1.740,0,0,
1772010492.3941,45,30,1,1,1,1,1.756,1.756,0,0,
1772010492.4145,45,30,1,1,1,1,1.776,1.776,0,0,
1772010492.4300,45,30,1,1,1,1,1.792,1.792,0,0,
1772010492.4618,45,30,1,1,1,1,1.824,1.824,0,0,
1772010492.4818,45,30,1,1,1,1,1.844,1.844,0,0,
1772010492.5051,45,30,1,1,1,1,1.867,1.867,0,0,
1772010492.5316,45,30,1,1,1,1,1.893,1.893,0,0,
1772010492.5498,45,30,1,1,1,1,1.912,1.912,0,0,
1772010492.5765,45,30,1,1,1,1,1.938,1.938,0,0,
1772010492.6012,45,30,1,1,1,1,1.963,1.963,0,0,
1772010492.6243,45,30,1,1,1,1,1.986,1.986,0,0,
1772010492.6478,45,30,0,0,0,0,2.010,2.010,0,0,L2_DWELL_SUPPRESSED
1772010492.6713,45,30,0,0,0,0,2.033,2.033,0,0,L2_DWELL_SUPPRESSED
1772010492.6872,45,30,0,0,0,0,2.049,2.049,0,0,L2_DWELL_SUPPRESSED
1772010492.7192,45,30,0,0,0,0,2.081,2.081,0,0,L2_DWELL_SUPPRESSED
1772010492.7471,47,31,0,0,0,0,2.109,2.109,0,0,L2_DWELL_SUPPRESSED
1772010492.7811,47,31,0,0,0,0,2.143,2.143,0,0,L2_DWELL_SUPPRESSED
1772010492.8429,47,31,0,0,0,0,2.205,2.205,0,0,L2_DWELL_SUPPRESSED
1772010492.8901,47,31,0,0,0,0,2.252,2.252,0,0,L2_DWELL_SUPPRESSED
1772010492.9096,47,31,0,0,0,0,2.271,2.271,0,0,L2_DWELL_SUPPRESSED
1772010492.9470,40,27,0,0,0,0,2.309,0.000,0,0,L1_DWELL_SUPPRESSED
1772010492.9866,38,27,0,0,0,0,2.348,0.000,0,0,L1_DWELL_SUPPRESSED
1772010493.0327,38,27,0,0,0,0,2.395,0.000,0,0,L1_DWELL_SUPPRESSED
1772010493.0936,43,29,0,0,0,0,2.455,0.000,0,0,L1_DWELL_SUPPRESSED
1772010493.1131,43,29,0,0,0,0,2.475,0.000,0,0,L1_DWELL_SUPPRESSED
1772010493.1567,43,29,0,0,0,0,2.519,0.000,0,0,L1_DWELL_SUPPRESSED
1772010493.1934,43,29,0,0,0,0,2.555,0.000,0,0,L1_DWELL_SUPPRESSED
1772010493.2383,43,29,0,0,0,0,2.600,0.000,0,0,L1_DWELL_SUPPRESSED
1772010493.3029,40,29,0,0,0,0,2.665,0.000,0,0,L1_DWELL_SUPPRESSED
1772010493.3129,41,29,0,0,0,0,2.675,0.000,0,0,L1_DWELL_SUPPRESSED
1772010493.3744,41,29,0,0,0,0,2.736,0.000,0,0,L1_DWELL_SUPPRESSED
